strategy,score,date
clockwise,1424,07/01/2015
clockwise,1128,07/01/2015
clockwise,164,07/01/2015
clockwise,2248,07/01/2015
clockwise,592,07/01/2015
clockwise,628,07/01/2015
clockwise,700,07/01/2015
clockwise,1380,07/01/2015
clockwise,296,07/01/2015
clockwise,1112,07/01/2015
counter_clockwise,2444,07/01/2015
counter_clockwise,3004,07/01/2015
counter_clockwise,2400,07/01/2015
counter_clockwise,648,07/01/2015
counter_clockwise,1392,07/01/2015
counter_clockwise,1400,07/01/2015
counter_clockwise,1364,07/01/2015
counter_clockwise,2664,07/01/2015
counter_clockwise,1488,07/01/2015
counter_clockwise,1576,07/01/2015
random,1128,07/01/2015
random,164,07/01/2015
random,2248,07/01/2015
random,592,07/01/2015
random,628,07/01/2015
random,700,07/01/2015
random,1380,07/01/2015
random,296,07/01/2015
random,1112,07/01/2015
random,424,07/01/2015
clockwise,2384,07/01/2015
clockwise,1136,07/01/2015
clockwise,628,07/01/2015
clockwise,616,07/01/2015
clockwise,720,07/01/2015
clockwise,888,07/01/2015
clockwise,1136,07/01/2015
clockwise,684,07/01/2015
clockwise,1460,07/01/2015
clockwise,2360,07/01/2015
clockwise,540,07/01/2015
clockwise,648,07/01/2015
clockwise,764,07/01/2015
clockwise,1068,07/01/2015
clockwise,432,07/01/2015
clockwise,1544,07/01/2015
clockwise,932,07/01/2015
clockwise,432,07/01/2015
clockwise,500,07/01/2015
clockwise,1156,07/01/2015
clockwise,352,07/01/2015
clockwise,780,07/01/2015
clockwise,1084,07/01/2015
clockwise,1256,07/01/2015
clockwise,956,07/01/2015
clockwise,764,07/01/2015
clockwise,1180,07/01/2015
clockwise,1276,07/01/2015
clockwise,1472,07/01/2015
clockwise,672,07/01/2015
clockwise,1184,07/01/2015
clockwise,1264,07/01/2015
clockwise,788,07/01/2015
clockwise,1276,07/01/2015
clockwise,584,07/01/2015
clockwise,1032,07/01/2015
clockwise,1028,07/01/2015
clockwise,732,07/01/2015
clockwise,924,07/01/2015
clockwise,1424,07/01/2015
clockwise,1304,07/01/2015
clockwise,992,07/01/2015
clockwise,636,07/01/2015
clockwise,2144,07/01/2015
clockwise,1624,07/01/2015
clockwise,884,07/01/2015
clockwise,464,07/01/2015
clockwise,1308,07/01/2015
clockwise,564,07/01/2015
clockwise,996,07/01/2015
counter_clockwise,1248,07/01/2015
counter_clockwise,3108,07/01/2015
counter_clockwise,3704,07/01/2015
counter_clockwise,5000,07/01/2015
counter_clockwise,1420,07/01/2015
counter_clockwise,2468,07/01/2015
counter_clockwise,996,07/01/2015
counter_clockwise,3060,07/01/2015
counter_clockwise,1992,07/01/2015
counter_clockwise,1344,07/01/2015
counter_clockwise,3164,07/01/2015
counter_clockwise,1428,07/01/2015
counter_clockwise,1532,07/01/2015
counter_clockwise,2020,07/01/2015
counter_clockwise,3164,07/01/2015
counter_clockwise,3036,07/01/2015
counter_clockwise,3072,07/01/2015
counter_clockwise,3104,07/01/2015
counter_clockwise,1436,07/01/2015
counter_clockwise,3208,07/01/2015
counter_clockwise,784,07/01/2015
counter_clockwise,1120,07/01/2015
counter_clockwise,1364,07/01/2015
counter_clockwise,3200,07/01/2015
counter_clockwise,2316,07/01/2015
counter_clockwise,1312,07/01/2015
counter_clockwise,5304,07/01/2015
counter_clockwise,1456,07/01/2015
counter_clockwise,3032,07/01/2015
counter_clockwise,2928,07/01/2015
counter_clockwise,2860,07/01/2015
counter_clockwise,5452,07/01/2015
counter_clockwise,1012,07/01/2015
counter_clockwise,2964,07/01/2015
counter_clockwise,1348,07/01/2015
counter_clockwise,2344,07/01/2015
counter_clockwise,2764,07/01/2015
counter_clockwise,2872,07/01/2015
counter_clockwise,556,07/01/2015
counter_clockwise,1332,07/01/2015
counter_clockwise,3700,07/01/2015
counter_clockwise,2940,07/01/2015
counter_clockwise,1172,07/01/2015
counter_clockwise,1568,07/01/2015
counter_clockwise,2360,07/01/2015
counter_clockwise,804,07/01/2015
counter_clockwise,3176,07/01/2015
counter_clockwise,3344,07/01/2015
counter_clockwise,1024,07/01/2015
counter_clockwise,1448,07/01/2015
random,1136,07/01/2015
random,628,07/01/2015
random,616,07/01/2015
random,720,07/01/2015
random,888,07/01/2015
random,1136,07/01/2015
random,684,07/01/2015
random,1460,07/01/2015
random,2360,07/01/2015
random,540,07/01/2015
random,648,07/01/2015
random,764,07/01/2015
random,1068,07/01/2015
random,432,07/01/2015
random,1544,07/01/2015
random,932,07/01/2015
random,432,07/01/2015
random,500,07/01/2015
random,1156,07/01/2015
random,352,07/01/2015
random,780,07/01/2015
random,1084,07/01/2015
random,1256,07/01/2015
random,956,07/01/2015
random,764,07/01/2015
random,1180,07/01/2015
random,1276,07/01/2015
random,1472,07/01/2015
random,672,07/01/2015
random,1184,07/01/2015
random,1264,07/01/2015
random,788,07/01/2015
random,1276,07/01/2015
random,584,07/01/2015
random,1032,07/01/2015
random,1028,07/01/2015
random,732,07/01/2015
random,924,07/01/2015
random,1424,07/01/2015
random,1304,07/01/2015
random,992,07/01/2015
random,636,07/01/2015
random,2144,07/01/2015
random,1624,07/01/2015
random,884,07/01/2015
random,464,07/01/2015
random,1308,07/01/2015
random,564,07/01/2015
random,996,07/01/2015
random,600,07/01/2015
clockwise,3052,07/01/2015
clockwise,384,07/01/2015
counter_clockwise,1128,07/01/2015
counter_clockwise,704,07/01/2015
random,384,07/01/2015
random,960,07/01/2015
clockwise,3188,07/05/2015
clockwise,2944,07/05/2015
clockwise,3016,07/05/2015
clockwise,3064,07/05/2015
counter_clockwise,2992,07/05/2015
counter_clockwise,1052,07/05/2015
clockwise,3148,07/05/2015
clockwise,1576,07/05/2015
counter_clockwise,3096,07/05/2015
counter_clockwise,1392,07/05/2015
random,1456,07/05/2015
random,992,07/05/2015
random,1448,07/05/2015
random,664,07/05/2015
